tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
0.0,118,13282,1760,0.0,0,/Applications/Microsoft
0.0,118,13282,2289,0.0,38,/Applications/Ollama.app/Contents/Resources/ollama
0.0,118,13282,91257,2.7,29,/Applications/Microsoft
0.0,118,13282,91258,0.0,0,/Applications/Microsoft
0.0,118,13282,91259,0.0,2,/Applications/Microsoft
0.0,118,13282,91263,0.4,76,/Applications/Microsoft
0.0,118,13282,91265,0.0,0,/Applications/Microsoft
0.0,118,13282,91266,0.0,27,/Applications/Microsoft
0.0,118,13282,91268,0.0,22,/Applications/Microsoft
0.0,118,13282,91270,0.0,7,/Applications/Microsoft
0.0,118,13282,91271,0.0,27,/Applications/Microsoft
0.0,118,13282,91272,0.0,10,/Applications/Microsoft
0.0,118,13282,91279,0.2,715,/Applications/Microsoft
0.0,118,13282,91280,41.0,167,/Applications/Microsoft
0.0,118,13282,91295,0.0,3,/Applications/Microsoft
0.0,118,13282,91296,0.0,3,/Applications/Microsoft
0.0,118,13282,91305,0.0,0,/Applications/Microsoft
0.0,118,13282,91318,0.0,0,/Applications/Microsoft
0.0,118,13282,97652,0.0,10,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.6,120,13266,1760,0.0,0,/Applications/Microsoft
0.6,120,13266,2289,0.0,36,/Applications/Ollama.app/Contents/Resources/ollama
0.6,120,13266,91257,2.2,31,/Applications/Microsoft
0.6,120,13266,91258,0.0,0,/Applications/Microsoft
0.6,120,13266,91259,0.0,2,/Applications/Microsoft
0.6,120,13266,91263,2.9,63,/Applications/Microsoft
0.6,120,13266,91265,0.0,0,/Applications/Microsoft
0.6,120,13266,91266,0.3,19,/Applications/Microsoft
0.6,120,13266,91268,0.6,19,/Applications/Microsoft
0.6,120,13266,91270,0.0,6,/Applications/Microsoft
0.6,120,13266,91271,2.5,43,/Applications/Microsoft
0.6,120,13266,91272,0.0,8,/Applications/Microsoft
0.6,120,13266,91279,7.8,224,/Applications/Microsoft
0.6,120,13266,91280,29.0,154,/Applications/Microsoft
0.6,120,13266,91295,0.0,3,/Applications/Microsoft
0.6,120,13266,91296,0.0,3,/Applications/Microsoft
0.6,120,13266,91305,0.0,0,/Applications/Microsoft
0.6,120,13266,91318,0.0,0,/Applications/Microsoft
0.6,120,13266,97652,0.7,12,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.6,120,13266,97664,48.8,426,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
1.1,131,13323,1760,0.0,0,/Applications/Microsoft
1.1,131,13323,2289,0.0,9,/Applications/Ollama.app/Contents/Resources/ollama
1.1,131,13323,91257,1.0,23,/Applications/Microsoft
1.1,131,13323,91258,0.0,0,/Applications/Microsoft
1.1,131,13323,91259,0.0,2,/Applications/Microsoft
1.1,131,13323,91263,0.3,20,/Applications/Microsoft
1.1,131,13323,91265,0.0,0,/Applications/Microsoft
1.1,131,13323,91266,0.0,12,/Applications/Microsoft
1.1,131,13323,91268,0.0,10,/Applications/Microsoft
1.1,131,13323,91270,0.0,2,/Applications/Microsoft
1.1,131,13323,91271,1.3,16,/Applications/Microsoft
1.1,131,13323,91272,0.0,6,/Applications/Microsoft
1.1,131,13323,91279,1.3,54,/Applications/Microsoft
1.1,131,13323,91280,29.3,125,/Applications/Microsoft
1.1,131,13323,91295,0.0,3,/Applications/Microsoft
1.1,131,13323,91296,0.0,3,/Applications/Microsoft
1.1,131,13323,91305,0.0,0,/Applications/Microsoft
1.1,131,13323,91318,0.0,0,/Applications/Microsoft
1.1,131,13323,97652,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.1,131,13323,97664,70.7,1586,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
1.7,163,13504,1760,0.0,0,/Applications/Microsoft
1.7,163,13504,2289,0.0,9,/Applications/Ollama.app/Contents/Resources/ollama
1.7,163,13504,91257,0.4,18,/Applications/Microsoft
1.7,163,13504,91258,0.0,0,/Applications/Microsoft
1.7,163,13504,91259,0.0,2,/Applications/Microsoft
1.7,163,13504,91263,0.1,17,/Applications/Microsoft
1.7,163,13504,91265,0.0,0,/Applications/Microsoft
1.7,163,13504,91266,0.9,22,/Applications/Microsoft
1.7,163,13504,91268,0.0,11,/Applications/Microsoft
1.7,163,13504,91270,0.0,2,/Applications/Microsoft
1.7,163,13504,91271,0.0,11,/Applications/Microsoft
1.7,163,13504,91272,0.0,5,/Applications/Microsoft
1.7,163,13504,91279,3.1,86,/Applications/Microsoft
1.7,163,13504,91280,32.4,131,/Applications/Microsoft
1.7,163,13504,91295,0.0,3,/Applications/Microsoft
1.7,163,13504,91296,0.0,3,/Applications/Microsoft
1.7,163,13504,91305,0.0,0,/Applications/Microsoft
1.7,163,13504,91318,0.0,0,/Applications/Microsoft
1.7,163,13504,97652,0.0,7,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.7,163,13504,97664,48.6,1702,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
2.3,165,13504,1760,0.0,0,/Applications/Microsoft
2.3,165,13504,2289,0.0,9,/Applications/Ollama.app/Contents/Resources/ollama
2.3,165,13504,91257,1.2,15,/Applications/Microsoft
2.3,165,13504,91258,0.0,0,/Applications/Microsoft
2.3,165,13504,91259,0.0,2,/Applications/Microsoft
2.3,165,13504,91263,0.0,14,/Applications/Microsoft
2.3,165,13504,91265,0.0,0,/Applications/Microsoft
2.3,165,13504,91266,0.0,19,/Applications/Microsoft
2.3,165,13504,91268,0.0,12,/Applications/Microsoft
2.3,165,13504,91270,0.0,2,/Applications/Microsoft
2.3,165,13504,91271,0.0,18,/Applications/Microsoft
2.3,165,13504,91272,0.0,5,/Applications/Microsoft
2.3,165,13504,91279,0.6,47,/Applications/Microsoft
2.3,165,13504,91280,32.8,134,/Applications/Microsoft
2.3,165,13504,91295,0.0,3,/Applications/Microsoft
2.3,165,13504,91296,0.0,3,/Applications/Microsoft
2.3,165,13504,91305,0.0,0,/Applications/Microsoft
2.3,165,13504,91318,0.0,0,/Applications/Microsoft
2.3,165,13504,97652,0.0,7,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.3,165,13504,97664,8.5,1691,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
2.8,231,13647,1760,0.0,0,/Applications/Microsoft
2.8,231,13647,2289,0.0,7,/Applications/Ollama.app/Contents/Resources/ollama
2.8,231,13647,91257,0.7,18,/Applications/Microsoft
2.8,231,13647,91258,0.0,0,/Applications/Microsoft
2.8,231,13647,91259,0.0,2,/Applications/Microsoft
2.8,231,13647,91263,0.0,14,/Applications/Microsoft
2.8,231,13647,91265,0.0,0,/Applications/Microsoft
2.8,231,13647,91266,0.3,22,/Applications/Microsoft
2.8,231,13647,91268,0.1,12,/Applications/Microsoft
2.8,231,13647,91270,0.0,1,/Applications/Microsoft
2.8,231,13647,91271,0.1,19,/Applications/Microsoft
2.8,231,13647,91272,0.0,7,/Applications/Microsoft
2.8,231,13647,91279,1.5,88,/Applications/Microsoft
2.8,231,13647,91280,37.3,141,/Applications/Microsoft
2.8,231,13647,91295,0.0,3,/Applications/Microsoft
2.8,231,13647,91296,0.0,3,/Applications/Microsoft
2.8,231,13647,91305,0.0,0,/Applications/Microsoft
2.8,231,13647,91318,0.0,0,/Applications/Microsoft
2.8,231,13647,97652,0.0,6,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.8,231,13647,97664,16.3,1979,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
3.3,160,13647,1760,0.0,0,/Applications/Microsoft
3.3,160,13647,2289,0.0,7,/Applications/Ollama.app/Contents/Resources/ollama
3.3,160,13647,91257,0.9,20,/Applications/Microsoft
3.3,160,13647,91258,0.0,0,/Applications/Microsoft
3.3,160,13647,91259,0.0,2,/Applications/Microsoft
3.3,160,13647,91263,0.0,16,/Applications/Microsoft
3.3,160,13647,91265,0.0,0,/Applications/Microsoft
3.3,160,13647,91266,0.0,22,/Applications/Microsoft
3.3,160,13647,91268,0.0,13,/Applications/Microsoft
3.3,160,13647,91270,0.0,1,/Applications/Microsoft
3.3,160,13647,91271,0.0,19,/Applications/Microsoft
3.3,160,13647,91272,0.0,7,/Applications/Microsoft
3.3,160,13647,91279,1.1,162,/Applications/Microsoft
3.3,160,13647,91280,44.9,141,/Applications/Microsoft
3.3,160,13647,91295,0.0,3,/Applications/Microsoft
3.3,160,13647,91296,0.0,3,/Applications/Microsoft
3.3,160,13647,91305,0.0,0,/Applications/Microsoft
3.3,160,13647,91318,0.0,0,/Applications/Microsoft
3.3,160,13647,97652,0.0,6,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
3.3,160,13647,97664,14.7,1995,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-cli
3.9,160,13647,1760,0.0,0,/Applications/Microsoft
3.9,160,13647,2289,0.0,7,/Applications/Ollama.app/Contents/Resources/ollama
3.9,160,13647,91257,0.7,19,/Applications/Microsoft
3.9,160,13647,91258,0.0,0,/Applications/Microsoft
3.9,160,13647,91259,0.0,2,/Applications/Microsoft
3.9,160,13647,91263,2.1,46,/Applications/Microsoft
3.9,160,13647,91265,0.0,0,/Applications/Microsoft
3.9,160,13647,91266,0.0,22,/Applications/Microsoft
3.9,160,13647,91268,0.0,8,/Applications/Microsoft
3.9,160,13647,91270,0.0,1,/Applications/Microsoft
3.9,160,13647,91271,0.0,19,/Applications/Microsoft
