tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
0.0,349,13970,1187,0.4,278,/Applications/Ollama.app/Contents/Resources/llama-server
0.0,349,13970,1760,0.0,0,/Applications/Microsoft
0.0,349,13970,2289,0.0,24,/Applications/Ollama.app/Contents/Resources/ollama
0.0,349,13970,3739,0.0,10,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.0,349,13970,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.0,349,13970,91257,0.4,29,/Applications/Microsoft
0.0,349,13970,91258,0.0,0,/Applications/Microsoft
0.0,349,13970,91259,0.0,2,/Applications/Microsoft
0.0,349,13970,91263,0.0,54,/Applications/Microsoft
0.0,349,13970,91265,0.0,0,/Applications/Microsoft
0.0,349,13970,91266,5.9,31,/Applications/Microsoft
0.0,349,13970,91268,0.0,16,/Applications/Microsoft
0.0,349,13970,91270,0.0,9,/Applications/Microsoft
0.0,349,13970,91271,0.0,74,/Applications/Microsoft
0.0,349,13970,91272,0.0,11,/Applications/Microsoft
0.0,349,13970,91279,8.4,416,/Applications/Microsoft
0.0,349,13970,91280,45.2,188,/Applications/Microsoft
0.0,349,13970,91295,0.4,8,/Applications/Microsoft
0.0,349,13970,91296,0.0,7,/Applications/Microsoft
0.0,349,13970,91305,0.0,9,/Applications/Microsoft
0.0,349,13970,91318,0.0,12,/Applications/Microsoft
0.0,349,13970,96687,0.1,3534,/Applications/Ollama.app/Contents/Resources/llama-server
0.0,349,13970,98129,0.4,577,/Applications/Ollama.app/Contents/Resources/llama-server
0.6,4169,13962,1760,0.0,0,/Applications/Microsoft
0.6,4169,13962,2289,21.2,43,/Applications/Ollama.app/Contents/Resources/ollama
0.6,4169,13962,3739,1.2,17,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.6,4169,13962,3752,29.3,76,/Applications/Ollama.app/Contents/Resources/llama-server
0.6,4169,13962,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.6,4169,13962,91257,1.9,30,/Applications/Microsoft
0.6,4169,13962,91258,0.0,0,/Applications/Microsoft
0.6,4169,13962,91259,0.0,2,/Applications/Microsoft
0.6,4169,13962,91263,0.0,55,/Applications/Microsoft
0.6,4169,13962,91265,0.0,0,/Applications/Microsoft
0.6,4169,13962,91266,0.9,31,/Applications/Microsoft
0.6,4169,13962,91268,0.0,17,/Applications/Microsoft
0.6,4169,13962,91270,0.0,9,/Applications/Microsoft
0.6,4169,13962,91271,0.0,74,/Applications/Microsoft
0.6,4169,13962,91272,0.0,12,/Applications/Microsoft
0.6,4169,13962,91279,2.2,417,/Applications/Microsoft
0.6,4169,13962,91280,39.6,188,/Applications/Microsoft
0.6,4169,13962,91295,0.0,8,/Applications/Microsoft
0.6,4169,13962,91296,0.0,7,/Applications/Microsoft
0.6,4169,13962,91305,0.0,9,/Applications/Microsoft
0.6,4169,13962,91318,0.0,12,/Applications/Microsoft
1.1,3714,13954,1760,0.0,0,/Applications/Microsoft
1.1,3714,13954,2289,2.7,43,/Applications/Ollama.app/Contents/Resources/ollama
1.1,3714,13954,3739,0.2,17,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.1,3714,13954,3752,26.7,836,/Applications/Ollama.app/Contents/Resources/llama-server
1.1,3714,13954,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
1.1,3714,13954,91257,0.4,30,/Applications/Microsoft
