tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
0.0,289,11581,1760,0.0,0,/Applications/Microsoft
0.0,289,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
0.0,289,11581,91257,3.9,78,/Applications/Microsoft
0.0,289,11581,91258,0.0,0,/Applications/Microsoft
0.0,289,11581,91259,0.0,6,/Applications/Microsoft
0.0,289,11581,91263,1.2,138,/Applications/Microsoft
0.0,289,11581,91265,0.0,0,/Applications/Microsoft
0.0,289,11581,91266,4.2,37,/Applications/Microsoft
0.0,289,11581,91268,0.1,33,/Applications/Microsoft
0.0,289,11581,91270,0.0,13,/Applications/Microsoft
0.0,289,11581,91271,0.0,158,/Applications/Microsoft
0.0,289,11581,91272,0.0,21,/Applications/Microsoft
0.0,289,11581,91279,6.3,842,/Applications/Microsoft
0.0,289,11581,91280,36.2,468,/Applications/Microsoft
0.0,289,11581,91295,0.0,13,/Applications/Microsoft
0.0,289,11581,91296,0.0,13,/Applications/Microsoft
0.0,289,11581,91305,0.0,42,/Applications/Microsoft
0.0,289,11581,91318,0.0,39,/Applications/Microsoft
0.0,289,11581,95323,0.0,0,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.6,85,11581,1760,0.0,0,/Applications/Microsoft
0.6,85,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
0.6,85,11581,91257,7.0,73,/Applications/Microsoft
0.6,85,11581,91258,0.0,0,/Applications/Microsoft
0.6,85,11581,91259,0.0,6,/Applications/Microsoft
0.6,85,11581,91263,3.5,127,/Applications/Microsoft
0.6,85,11581,91265,0.0,0,/Applications/Microsoft
0.6,85,11581,91266,10.7,36,/Applications/Microsoft
0.6,85,11581,91268,0.1,30,/Applications/Microsoft
0.6,85,11581,91270,0.0,10,/Applications/Microsoft
0.6,85,11581,91271,0.0,139,/Applications/Microsoft
0.6,85,11581,91272,0.0,18,/Applications/Microsoft
0.6,85,11581,91279,14.8,776,/Applications/Microsoft
0.6,85,11581,91280,30.7,379,/Applications/Microsoft
0.6,85,11581,91295,0.0,11,/Applications/Microsoft
0.6,85,11581,91296,0.0,9,/Applications/Microsoft
0.6,85,11581,91305,0.0,36,/Applications/Microsoft
0.6,85,11581,91318,0.0,33,/Applications/Microsoft
0.6,85,11581,95323,1.5,16,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.6,85,11581,95335,54.3,677,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
1.1,80,11581,1760,0.0,0,/Applications/Microsoft
1.1,80,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
1.1,80,11581,91257,1.9,73,/Applications/Microsoft
1.1,80,11581,91258,0.0,0,/Applications/Microsoft
1.1,80,11581,91259,0.0,3,/Applications/Microsoft
1.1,80,11581,91263,0.6,125,/Applications/Microsoft
1.1,80,11581,91265,0.0,0,/Applications/Microsoft
1.1,80,11581,91266,2.3,36,/Applications/Microsoft
1.1,80,11581,91268,0.0,30,/Applications/Microsoft
1.1,80,11581,91270,0.0,9,/Applications/Microsoft
1.1,80,11581,91271,0.3,142,/Applications/Microsoft
1.1,80,11581,91272,0.0,17,/Applications/Microsoft
1.1,80,11581,91279,11.9,794,/Applications/Microsoft
1.1,80,11581,91280,33.2,380,/Applications/Microsoft
1.1,80,11581,91295,0.0,11,/Applications/Microsoft
1.1,80,11581,91296,0.0,9,/Applications/Microsoft
1.1,80,11581,91305,0.0,36,/Applications/Microsoft
1.1,80,11581,91318,0.0,33,/Applications/Microsoft
1.1,80,11581,95323,14.0,25,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.1,80,11581,95335,20.1,691,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
1.7,89,11581,1760,0.0,0,/Applications/Microsoft
1.7,89,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
1.7,89,11581,91257,0.4,74,/Applications/Microsoft
1.7,89,11581,91258,0.0,0,/Applications/Microsoft
1.7,89,11581,91259,0.0,3,/Applications/Microsoft
1.7,89,11581,91263,0.0,125,/Applications/Microsoft
1.7,89,11581,91265,0.0,0,/Applications/Microsoft
1.7,89,11581,91266,0.2,36,/Applications/Microsoft
1.7,89,11581,91268,0.0,31,/Applications/Microsoft
1.7,89,11581,91270,0.0,9,/Applications/Microsoft
1.7,89,11581,91271,0.0,142,/Applications/Microsoft
1.7,89,11581,91272,0.0,17,/Applications/Microsoft
1.7,89,11581,91279,2.4,798,/Applications/Microsoft
1.7,89,11581,91280,38.1,381,/Applications/Microsoft
1.7,89,11581,91295,0.0,11,/Applications/Microsoft
1.7,89,11581,91296,0.0,9,/Applications/Microsoft
1.7,89,11581,91305,0.0,36,/Applications/Microsoft
1.7,89,11581,91318,0.0,33,/Applications/Microsoft
1.7,89,11581,95323,5.8,27,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.7,89,11581,95335,35.4,696,/Users/parlevander/Projekt/whisper.cpp/build/bin/whisper-server
2.2,77,11581,1760,0.0,0,/Applications/Microsoft
2.2,77,11581,2289,0.0,16,/Applications/Ollama.app/Contents/Resources/ollama
2.2,77,11581,91257,0.3,74,/Applications/Microsoft
2.2,77,11581,91258,0.0,0,/Applications/Microsoft
2.2,77,11581,91259,0.0,3,/Applications/Microsoft
2.2,77,11581,91263,0.0,125,/Applications/Microsoft
2.2,77,11581,91265,0.0,0,/Applications/Microsoft
2.2,77,11581,91266,0.4,33,/Applications/Microsoft
2.2,77,11581,91268,0.0,31,/Applications/Microsoft
2.2,77,11581,91270,0.0,8,/Applications/Microsoft
2.2,77,11581,91271,0.0,143,/Applications/Microsoft
2.2,77,11581,91272,0.0,17,/Applications/Microsoft
2.2,77,11581,91279,0.8,779,/Applications/Microsoft
2.2,77,11581,91280,42.8,381,/Applications/Microsoft
2.2,77,11581,91295,0.0,10,/Applications/Microsoft
2.2,77,11581,91296,0.0,10,/Applications/Microsoft
2.2,77,11581,91305,0.0,36,/Applications/Microsoft
2.2,77,11581,91318,0.0,33,/Applications/Microsoft
