tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
0.0,2330,14258,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
0.0,2330,14258,1760,0.0,0,/Applications/Microsoft
0.0,2330,14258,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
0.0,2330,14258,3311,0.0,0,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.0,2330,14258,76251,0.0,1,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.0,2330,14258,91257,1.1,19,/Applications/Microsoft
0.0,2330,14258,91258,0.0,0,/Applications/Microsoft
0.0,2330,14258,91259,0.0,2,/Applications/Microsoft
0.0,2330,14258,91263,0.1,26,/Applications/Microsoft
0.0,2330,14258,91265,0.0,0,/Applications/Microsoft
0.0,2330,14258,91266,0.1,23,/Applications/Microsoft
0.0,2330,14258,91268,0.0,6,/Applications/Microsoft
0.0,2330,14258,91270,0.0,6,/Applications/Microsoft
0.0,2330,14258,91271,0.0,30,/Applications/Microsoft
0.0,2330,14258,91272,0.0,9,/Applications/Microsoft
0.0,2330,14258,91279,18.1,268,/Applications/Microsoft
0.0,2330,14258,91280,32.1,145,/Applications/Microsoft
0.0,2330,14258,91295,0.0,4,/Applications/Microsoft
0.0,2330,14258,91296,0.0,4,/Applications/Microsoft
0.0,2330,14258,91305,0.0,9,/Applications/Microsoft
0.0,2330,14258,91318,0.0,11,/Applications/Microsoft
0.0,2330,14258,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
0.0,2330,14258,98129,0.3,577,/Applications/Ollama.app/Contents/Resources/llama-server
0.7,2000,14258,1187,0.3,265,/Applications/Ollama.app/Contents/Resources/llama-server
0.7,2000,14258,1760,0.0,0,/Applications/Microsoft
0.7,2000,14258,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
0.7,2000,14258,3311,1.6,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
0.7,2000,14258,3324,17.0,60,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
0.7,2000,14258,76251,0.0,2,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
0.7,2000,14258,91257,0.9,21,/Applications/Microsoft
0.7,2000,14258,91258,0.0,0,/Applications/Microsoft
0.7,2000,14258,91259,0.0,2,/Applications/Microsoft
0.7,2000,14258,91263,0.0,26,/Applications/Microsoft
0.7,2000,14258,91265,0.0,0,/Applications/Microsoft
0.7,2000,14258,91266,5.8,28,/Applications/Microsoft
0.7,2000,14258,91268,0.0,7,/Applications/Microsoft
0.7,2000,14258,91270,0.0,6,/Applications/Microsoft
0.7,2000,14258,91271,0.0,30,/Applications/Microsoft
0.7,2000,14258,91272,0.0,10,/Applications/Microsoft
0.7,2000,14258,91279,8.7,342,/Applications/Microsoft
0.7,2000,14258,91280,31.0,148,/Applications/Microsoft
0.7,2000,14258,91295,0.0,4,/Applications/Microsoft
0.7,2000,14258,91296,0.0,4,/Applications/Microsoft
0.7,2000,14258,91305,0.0,9,/Applications/Microsoft
0.7,2000,14258,91318,0.0,11,/Applications/Microsoft
0.7,2000,14258,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
0.7,2000,14258,98129,0.3,577,/Applications/Ollama.app/Contents/Resources/llama-server
1.2,1773,14258,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
1.2,1773,14258,1760,0.0,0,/Applications/Microsoft
1.2,1773,14258,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
1.2,1773,14258,3311,0.2,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.2,1773,14258,3324,39.3,154,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
1.2,1773,14258,76251,0.0,2,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
1.2,1773,14258,91257,0.4,21,/Applications/Microsoft
1.2,1773,14258,91258,0.0,0,/Applications/Microsoft
1.2,1773,14258,91259,0.0,2,/Applications/Microsoft
1.2,1773,14258,91263,0.1,28,/Applications/Microsoft
1.2,1773,14258,91265,0.0,0,/Applications/Microsoft
1.2,1773,14258,91266,1.7,28,/Applications/Microsoft
1.2,1773,14258,91268,0.0,7,/Applications/Microsoft
1.2,1773,14258,91270,0.0,6,/Applications/Microsoft
1.2,1773,14258,91271,0.0,30,/Applications/Microsoft
1.2,1773,14258,91272,0.0,10,/Applications/Microsoft
1.2,1773,14258,91279,2.7,348,/Applications/Microsoft
1.2,1773,14258,91280,41.6,151,/Applications/Microsoft
1.2,1773,14258,91295,0.0,4,/Applications/Microsoft
1.2,1773,14258,91296,0.0,4,/Applications/Microsoft
1.2,1773,14258,91305,0.0,9,/Applications/Microsoft
1.2,1773,14258,91318,0.0,11,/Applications/Microsoft
1.2,1773,14258,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
1.2,1773,14258,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
1.7,1375,14242,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
1.7,1375,14242,1760,0.0,0,/Applications/Microsoft
1.7,1375,14242,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
1.7,1375,14242,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
1.7,1375,14242,3324,59.4,194,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
1.7,1375,14242,76251,0.1,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
1.7,1375,14242,91257,0.3,22,/Applications/Microsoft
1.7,1375,14242,91258,0.0,0,/Applications/Microsoft
1.7,1375,14242,91259,0.0,2,/Applications/Microsoft
1.7,1375,14242,91263,0.0,29,/Applications/Microsoft
1.7,1375,14242,91265,0.0,0,/Applications/Microsoft
1.7,1375,14242,91266,0.0,28,/Applications/Microsoft
1.7,1375,14242,91268,0.0,8,/Applications/Microsoft
1.7,1375,14242,91270,0.0,6,/Applications/Microsoft
1.7,1375,14242,91271,0.1,32,/Applications/Microsoft
1.7,1375,14242,91272,0.0,11,/Applications/Microsoft
1.7,1375,14242,91279,1.7,369,/Applications/Microsoft
1.7,1375,14242,91280,32.7,153,/Applications/Microsoft
1.7,1375,14242,91295,0.0,4,/Applications/Microsoft
1.7,1375,14242,91296,0.0,4,/Applications/Microsoft
1.7,1375,14242,91305,0.0,9,/Applications/Microsoft
1.7,1375,14242,91318,0.0,11,/Applications/Microsoft
1.7,1375,14242,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
1.7,1375,14242,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
2.3,1283,14202,1187,0.2,265,/Applications/Ollama.app/Contents/Resources/llama-server
2.3,1283,14202,1760,0.0,0,/Applications/Microsoft
2.3,1283,14202,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
2.3,1283,14202,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.3,1283,14202,3324,37.8,223,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
2.3,1283,14202,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
2.3,1283,14202,91257,0.3,22,/Applications/Microsoft
2.3,1283,14202,91258,0.0,0,/Applications/Microsoft
2.3,1283,14202,91259,0.0,2,/Applications/Microsoft
2.3,1283,14202,91263,0.0,29,/Applications/Microsoft
2.3,1283,14202,91265,0.0,0,/Applications/Microsoft
2.3,1283,14202,91266,0.6,31,/Applications/Microsoft
2.3,1283,14202,91268,0.0,8,/Applications/Microsoft
2.3,1283,14202,91270,0.0,6,/Applications/Microsoft
2.3,1283,14202,91271,0.0,32,/Applications/Microsoft
2.3,1283,14202,91272,0.0,11,/Applications/Microsoft
2.3,1283,14202,91279,1.9,371,/Applications/Microsoft
2.3,1283,14202,91280,43.8,155,/Applications/Microsoft
2.3,1283,14202,91295,0.0,4,/Applications/Microsoft
2.3,1283,14202,91296,0.0,4,/Applications/Microsoft
2.3,1283,14202,91305,0.0,9,/Applications/Microsoft
2.3,1283,14202,91318,0.0,11,/Applications/Microsoft
2.3,1283,14202,96687,0.3,3534,/Applications/Ollama.app/Contents/Resources/llama-server
2.3,1283,14202,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
2.9,1012,14202,1187,0.3,265,/Applications/Ollama.app/Contents/Resources/llama-server
2.9,1012,14202,1760,0.0,0,/Applications/Microsoft
2.9,1012,14202,2289,0.0,0,/Applications/Ollama.app/Contents/Resources/ollama
2.9,1012,14202,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
2.9,1012,14202,3324,36.1,250,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
2.9,1012,14202,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
2.9,1012,14202,91257,0.3,23,/Applications/Microsoft
2.9,1012,14202,91258,0.0,0,/Applications/Microsoft
2.9,1012,14202,91259,0.0,2,/Applications/Microsoft
2.9,1012,14202,91263,0.0,29,/Applications/Microsoft
2.9,1012,14202,91265,0.0,0,/Applications/Microsoft
2.9,1012,14202,91266,0.0,31,/Applications/Microsoft
2.9,1012,14202,91268,0.0,8,/Applications/Microsoft
2.9,1012,14202,91270,0.0,8,/Applications/Microsoft
2.9,1012,14202,91271,0.0,32,/Applications/Microsoft
2.9,1012,14202,91272,0.0,11,/Applications/Microsoft
2.9,1012,14202,91279,0.2,372,/Applications/Microsoft
2.9,1012,14202,91280,43.9,166,/Applications/Microsoft
